N-be75eec_750,10.23474669456482,70296167
N-be75np_750,11.139291763305664,140346640
N-be75oi_750,10.365955829620361,56624485
N-be75tot_750,10.327975749969482,243149428
N-stabu70_750,10.957824468612671,57557869
N-stabu74_750,10.854456424713135,86466602
N-stabu75_750,9.912180662155151,89362248
N-t59b11xx_750,10.011616706848145,58920190
N-t59d11xx_750,10.152756452560425,29500856
N-t59f11xx_750,9.655698537826538,28605518
N-t59i11xx_750,9.90641713142395,2029904981
N-t59n11xx_750,9.855193614959717,5581405
N-t65b11xx_750,10.858644485473633,127467753
N-t65d11xx_750,10.184780359268188,66796679
N-t65f11xx_750,10.192795038223267,62365151
N-t65i11xx_750,9.880385398864746,4856591839
N-t65l11xx_750,10.496571063995361,4833738
N-t65n11xx_750,9.966211557388306,9898689
N-t65w11xx_750,9.781643867492676,41162900100
N-t69r11xx_750,9.843565702438354,232098423
N-t70b11xx_750,10.81866455078125,179411016
N-t70d11xx_750,11.195310592651367,116906696
N-t70d11xxb_750,10.272460222244263,110798911
N-t70f11xx_750,10.37062931060791,102238394
N-t70i11xx_750,10.567197322845459,7505670761
N-t70k11xx_750,10.838014602661133,16437148200
N-t70l11xx_750,9.637045860290527,7742015
N-t70n11xx_750,10.095686674118042,16739338
N-t70u11xx_750,10.936574459075928,5861613000
N-t70w11xx_750,12.061767101287842,67220262960
N-t70x11xx_750,9.811611890792847,82787064070
N-t74d11xx_750,10.272554874420166,177182395
N-t75d11xx_750,10.435554265975952,181990524
N-t75e11xx_750,9.63539743423462,805915962
N-t75i11xx_750,9.640230894088745,20913749511
N-t75k11xx_750,9.781941890716553,30019972
N-t75n11xx_750,9.944944620132446,31359580
N-t75u11xx_750,11.33514928817749,17068819081
N-tiw56n54_750,10.324901103973389,14929608
N-tiw56n58_750,10.205195665359497,20361462
N-tiw56n62_750,10.256572484970093,29047425
N-tiw56n66_750,10.693544387817383,37719982
N-tiw56n67_750,9.683196067810059,44079784
N-tiw56n72_750,11.671540021896362,76097958
N-tiw56r54_750,9.920942783355713,16841878
N-tiw56r58_750,10.257531881332397,21329464
N-tiw56r66_750,10.736299276351929,34860403
N-tiw56r67_750,10.38902759552002,39073086
N-tiw56r72_750,11.085846900939941,50914999
N-usa79_750,10.407271146774292,154997651
