method,maxsize,instance,time,objective
level,30,N-be75oi_150,1.4232466220855713,2163227
level,30,N-be75tot_150,7.565432548522949,11294001
level,30,N-stabu1_150,3.6732587814331055,2633159
level,30,N-stabu2_150,4.628906011581421,3989250
level,30,N-stabu3_150,4.731717824935913,4217354
level,30,N-t59b11xx_150,1.0129132270812988,2946480
level,30,N-t59d11xx_150,2.640381336212158,1292104
level,30,N-t59f11xx_150,2.272798538208008,1377682
level,30,N-t59n11xx_150,0.6125762462615967,297023
level,30,N-t65b11xx_150,4.785058736801148,5893527
level,30,N-t65d11xx_150,4.21663236618042,3208347
level,30,N-t65f11xx_150,3.925290107727051,2896923
level,30,N-t65l11xx_150,0.3639378547668457,241699
level,30,N-t65n11xx_150,0.9915220737457277,513074
level,30,N-t69r11xx_150,5.533429145812988,10903752
level,30,N-t70b11xx_150,6.116373062133789,8927860
level,30,N-t70d11xn_150,6.025082349777222,5312169
level,30,N-t70d11xx_150,6.320044040679932,5613940
level,30,N-t70f11xx_150,5.271966934204102,4673513
level,30,N-t70l11xx_150,0.476358413696289,407979
level,30,N-t70n11xx_150,1.3556561470031738,875070
level,30,N-t74d11xx_150,8.052550077438354,8629319
level,30,N-t75d11xx_150,8.147539854049683,8898902
level,30,N-t75e11xx_150,13.734554767608644,38720664
level,30,N-t75k11xx_150,2.203326463699341,1419475
level,30,N-t75n11xx_150,2.058589220046997,1628506
level,30,N-tiw56n54_150,1.6671814918518066,761731
level,30,N-tiw56n58_150,2.2261695861816406,1054307
level,30,N-tiw56n62_150,2.921851396560669,1501566
level,30,N-tiw56n66_150,3.3495357036590576,1926568
level,30,N-tiw56n67_150,3.243939161300659,2190167
level,30,N-tiw56n72_150,4.679032802581787,3837482
level,30,N-tiw56r54_150,1.7909033298492432,879600
level,30,N-tiw56r58_150,2.504455089569092,1123390
level,30,N-tiw56r66_150,3.25249981880188,1762149
level,30,N-tiw56r67_150,3.3017942905426025,1900218
level,30,N-tiw56r72_150,3.963478803634644,2586873
level,40,N-be75eec_150,2.989105224609375,3209247
level,40,N-be75np_150,5.766155958175659,6605750
level,40,N-be75oi_150,1.557065486907959,2166609
level,40,N-be75tot_150,7.616190671920776,11396004
level,40,N-stabu1_150,3.791180849075317,2640542
level,40,N-stabu2_150,4.757052183151245,4003938
level,40,N-stabu3_150,4.823596477508545,4227931
level,40,N-t59b11xx_150,1.0066821575164795,2958745
level,40,N-t59d11xx_150,2.450817823410034,1292104
level,40,N-t59f11xx_150,2.2495388984680176,1381520
level,40,N-t59n11xx_150,0.7878632545471191,298781
level,40,N-t65b11xx_150,4.876593351364136,5914071
level,40,N-t65d11xx_150,4.504332065582275,3233110
level,40,N-t65f11xx_150,3.841648817062378,2896923
level,40,N-t65l11xx_150,0.4849956035614013,243048
level,40,N-t65n11xx_150,1.0892863273620603,515077
level,40,N-t69r11xx_150,5.640923976898193,11028827
level,40,N-t70b11xx_150,5.951192140579224,8927860
level,40,N-t70d11xn_150,6.434839963912964,5345465
level,40,N-t70d11xx_150,6.49393367767334,5664850
level,40,N-t70f11xx_150,5.279815196990967,4673513
level,40,N-t70l11xx_150,0.6102633476257324,410794
level,40,N-t70n11xx_150,1.5146102905273438,881938
level,40,N-t74d11xx_150,8.06187891960144,8629319
level,40,N-t75d11xx_150,8.1746187210083,8898902
level,40,N-t75e11xx_150,13.728670358657835,38720664
level,40,N-t75k11xx_150,2.205572843551636,1419475
level,40,N-t75n11xx_150,2.2831003665924072,1635160
level,40,N-tiw56n54_150,1.82515811920166,763972
level,40,N-tiw56n58_150,2.465195655822754,1056995
level,40,N-tiw56n62_150,2.887866497039795,1504267
level,40,N-tiw56n66_150,3.8919856548309326,1934720
level,40,N-tiw56n67_150,3.574287176132202,2200613
level,40,N-tiw56n72_150,4.889853000640869,3842312
level,40,N-tiw56r54_150,2.450408697128296,884683
level,40,N-tiw56r58_150,2.460798978805542,1131027
level,40,N-tiw56r66_150,3.3391313552856445,1765711
level,40,N-tiw56r67_150,3.3805124759674072,1907331
level,40,N-tiw56r72_150,4.291433095932007,2602730
level,50,N-be75eec_150,3.1644656658172607,3229681
level,50,N-be75np_150,5.9986655712127686,6670561
level,50,N-be75oi_150,1.8203346729278564,2173773
level,50,N-be75tot_150,8.127429008483887,11455867
level,50,N-stabu1_150,7.563962459564209,2672996
level,50,N-stabu2_150,6.955992460250855,4023424
level,50,N-stabu3_150,5.724066972732544,4240685
