N-be75eec_150,3.3583643436431885,3282648
N-be75np_150,3.5771069526672363,6818383
N-be75oi_150,2.774773120880127,2185805
N-be75tot_150,3.8865885734558105,11560522
N-stabu1_150,4.205195903778076,2730456
N-stabu2_150,3.626286506652832,4087909
N-stabu3_150,3.9297561645507812,4265187
N-t59b11xx_150,2.9681198596954346,3040625
N-t59d11xx_150,3.353825092315674,1360832
N-t59f11xx_150,4.085574388504028,1432933
N-t59n11xx_150,2.778946876525879,301810
N-t65b11xx_150,3.5318973064422607,6099458
N-t65d11xx_150,3.541628837585449,3317576
N-t65f11xx_150,3.605574369430542,2966352
N-t65l11xx_150,1.7054517269134521,244054
N-t65n11xx_150,3.4348928928375244,524444
N-t69r11xx_150,3.2529664039611816,11153837
N-t70b11xx_150,3.284069776535034,9183941
N-t70d11xn_150,4.392878293991089,5470282
N-t70d11xx_150,4.084694862365723,5799893
N-t70f11xx_150,3.52966570854187,4832202
N-t70l11xx_150,1.8911991119384766,417320
N-t70n11xx_150,3.3986175060272217,898791
N-t74d11xx_150,3.8155415058135986,8792905
N-t75d11xx_150,4.459741830825806,9040535
N-t75e11xx_150,4.002045154571533,39539603
N-t75k11xx_150,3.2627639770507812,1431498
N-t75n11xx_150,3.3474044799804688,1644756
N-tiw56n54_150,3.7102718353271484,793432
N-tiw56n58_150,4.345952987670898,1085479
N-tiw56n62_150,4.000645160675049,1519228
N-tiw56n66_150,3.74955153465271,1993602
N-tiw56n67_150,3.742048501968384,2229483
N-tiw56n72_150,3.8870203495025635,3877739
N-tiw56r54_150,3.5100924968719482,909830
N-tiw56r58_150,4.7142674922943115,1147983
N-tiw56r66_150,3.9202792644500732,1820812
N-tiw56r67_150,3.9877238273620605,1942173
N-tiw56r72_150,3.903549909591675,2659679
